 ,Label,X,Y,Xo,Yo
1,B10Rot135_flat-grid-flat.tif:0209-0491,644.5,544.5,485,113
2,B10Rot135_flat-grid-flat.tif:0209-0491,597,527,,
3,B10Rot135_flat-grid-flat.tif:0209-0491,556,514,,
4,B10Rot135_flat-grid-flat.tif:0209-0491,515.5,499,,
5,B10Rot135_flat-grid-flat.tif:0209-0491,485,487.5,,
6,B10Rot135_flat-grid-flat.tif:0209-0491,450.5,501,,
7,B10Rot135_flat-grid-flat.tif:0209-0491,413,515.5,,
8,B10Rot135_flat-grid-flat.tif:0209-0491,373,532,,
9,B10Rot135_flat-grid-flat.tif:0209-0491,325,550.5,,
10,B10Rot135_flat-grid-flat.tif:0209-0491,485.5,388.5,,
11,B10Rot135_flat-grid-flat.tif:0209-0491,459,405,,
12,B10Rot135_flat-grid-flat.tif:0209-0491,430.5,424,,
13,B10Rot135_flat-grid-flat.tif:0209-0491,396,448,,
14,B10Rot135_flat-grid-flat.tif:0209-0491,369.5,425.5,,
15,B10Rot135_flat-grid-flat.tif:0209-0491,330.5,440,,
16,B10Rot135_flat-grid-flat.tif:0209-0491,403,415.5,,
17,B10Rot135_flat-grid-flat.tif:0209-0491,508,401,,
18,B10Rot135_flat-grid-flat.tif:0209-0491,539.5,419.5,,
19,B10Rot135_flat-grid-flat.tif:0209-0491,572.5,438.5,,
20,B10Rot135_flat-grid-flat.tif:0209-0491,535.5,401.5,,
21,B10Rot135_flat-grid-flat.tif:0209-0491,566,409.5,,
22,B10Rot135_flat-grid-flat.tif:0209-0491,598.5,422,,
23,B10Rot135_flat-grid-flat.tif:0209-0491,423.5,337.5,,
24,B10Rot135_flat-grid-flat.tif:0209-0491,400,349,,
25,B10Rot135_flat-grid-flat.tif:0209-0491,353.5,341.5,,
26,B10Rot135_flat-grid-flat.tif:0209-0491,380,333.5,,
27,B10Rot135_flat-grid-flat.tif:0209-0491,406.5,324.5,,
28,B10Rot135_flat-grid-flat.tif:0209-0491,429.5,319.5,,
29,B10Rot135_flat-grid-flat.tif:0209-0491,449.5,310.5,,
30,B10Rot135_flat-grid-flat.tif:0209-0491,467.5,305.5,,
31,B10Rot135_flat-grid-flat.tif:0209-0491,501.5,307.5,,
32,B10Rot135_flat-grid-flat.tif:0209-0491,523.5,338,,
33,B10Rot135_flat-grid-flat.tif:0209-0491,542,321,,
34,B10Rot135_flat-grid-flat.tif:0209-0491,521.5,315.5,,
35,B10Rot135_flat-grid-flat.tif:0209-0491,565,329,,
36,B10Rot135_flat-grid-flat.tif:0209-0491,589.5,335,,
37,B10Rot135_flat-grid-flat.tif:0209-0491,619.5,344,,
38,B10Rot135_flat-grid-flat.tif:0209-0491,656,356,,
39,B10Rot135_flat-grid-flat.tif:0390-0488,484.5,297,,
40,B10Rot135_flat-grid-flat.tif:0390-0488,484.5,211.5,,
41,B10Rot135_flat-grid-flat.tif:0390-0488,462.5,234.5,,
42,B10Rot135_flat-grid-flat.tif:0390-0488,445.5,257.5,,
43,B10Rot135_flat-grid-flat.tif:0390-0488,630,255,,
44,B10Rot135_flat-grid-flat.tif:0390-0488,612.5,239.5,,
45,B10Rot135_flat-grid-flat.tif:0390-0488,586.5,231,,
46,B10Rot135_flat-grid-flat.tif:0390-0488,565,223,,
47,B10Rot135_flat-grid-flat.tif:0390-0488,548,219.5,,
48,B10Rot135_flat-grid-flat.tif:0390-0488,533.5,215.5,,
49,B10Rot135_flat-grid-flat.tif:0390-0488,523,212,,
50,B10Rot135_flat-grid-flat.tif:0390-0488,510,207.5,,
51,B10Rot135_flat-grid-flat.tif:0390-0488,502,205,,
52,B10Rot135_flat-grid-flat.tif:0390-0488,491,201,,
53,B10Rot135_flat-grid-flat.tif:0390-0488,485.5,198,,
54,B10Rot135_flat-grid-flat.tif:0390-0488,478,200,,
55,B10Rot135_flat-grid-flat.tif:0390-0488,468,203.5,,
56,B10Rot135_flat-grid-flat.tif:0390-0488,459.5,208,,
57,B10Rot135_flat-grid-flat.tif:0390-0488,448,210.5,,
58,B10Rot135_flat-grid-flat.tif:0390-0488,435.5,216,,
59,B10Rot135_flat-grid-flat.tif:0390-0488,424.5,219.5,,
60,B10Rot135_flat-grid-flat.tif:0390-0488,405.5,227,,
61,B10Rot135_flat-grid-flat.tif:0390-0488,382,237,,
62,B10Rot135_flat-grid-flat.tif:0390-0488,345.5,250.5,,
63,B10Rot135_flat-grid-flat.tif:0282-0315,315,354.5,,
